	amicus	argDate	argMonth	argYear	caseName	cutoffs_ALL	cutoffs_BREYER	cutoffs_GINSBURG	cutoffs_KENNEDY	cutoffs_ROBERTS	cutoffs_SCALIA	decDate	majVotes	minVotes	winner	words_BREYER	words_GINSBURG	words_KENNEDY	words_ROBERTS	words_SCALIA
05-465	-1	2006-04-26	04	2006	MOHAWK INDUSTRIES, INC. v. SHIRLEY WILLIAMS et al.	12.0	0.6666666666666666	-1.0	1.0	0.75	0.5714285714285714	2006-06-05	9	0	1	0.41353383458646614	-0.5935483870967742	1.0	0.3974358974358974	0.008917197452229299
05-493	0	2006-10-03	10	2006	ROBERT L. AYERS, JR., ACTING WARDEN v. FERNANDO BELMONTES	3.0	1.0	-0.16666666666666666	0.16666666666666666	0.6666666666666666	-0.6	2006-10-13	5	4	1	1.0	-0.05241935483870968	-0.25475285171102663	0.4261241970021413	0.13855421686746988
05-502	1	2006-04-24	04	2006	BRIGHAM CITY, UTAH v. CHARLES W. STUART et al.	-2.0	1.0	-0.3333333333333333	-0.3333333333333333	-0.14285714285714285	-0.23076923076923078	2006-05-22	8	0	1	1.0	0.21071428571428572	-0.14444444444444443	-0.5971731448763251	-0.039832285115303984
05-5224	-1	2006-03-20	03	2006	ADRIAN MARTELL DAVIS v. WASHINGTON	2.0	-1.0	0.0	0.7777777777777778	-0.25	0.18518518518518517	2006-06-19	9	0	0	-0.6986301369863014	-0.8193979933110368	0.6666666666666666	-0.01217391304347826	0.29686360320933625
05-547	1	2006-10-03	10	2006	JOSE ANTONIO LOPEZ v. ALBERTO R. GONZALES, ATTORNEY GENERAL	21.0	0.08571428571428572	0.25	-0.3333333333333333	-0.6666666666666666	0.4594594594594595	2006-12-05	8	1	1	0.2751196172248804	0.30939226519337015	-0.7942857142857143	-0.7094972067039106	0.3485254691689008
05-593	0	2006-10-30	10	2006	PAT OSBORN v. BARRY HALEY, et al.	12.0	0.0	0.0	0.0	1.0	1.0	2007-01-22	7	2	0	0.13813229571984437	-0.29505582137161085	0.2677595628415301	0.010169491525423728	-0.13580246913580246
05-595	-1	2006-11-01	11	2006	GLEN WHORTON, DIRECTOR, NEVADA DEPARTMENT OF CORRECTIONS v. MARVIN HOWARD BOCKTING	-3.0	1.0	0.0	-0.2	0.3333333333333333	-0.3333333333333333	2007-02-28	9	0	1	1.0	-0.056338028169014086	0.45724907063197023	0.031578947368421054	0.02702702702702703
05-5966	-1	2006-04-19	04	2006	ERIC MICHAEL CLARK v. ARIZONA	-13.0	-0.12	0.0	-0.17647058823529413	-0.6666666666666666	0.3333333333333333	2006-06-29	5	4	0	-0.4123456790123457	0.13839285714285715	0.08809891808346214	-0.10909090909090909	-0.4358974358974359
05-5992	0	2006-04-18	04	2006	JACOB ZEDNER v. UNITED STATES	2.0	-0.14285714285714285	0.5	0.6	0.5	-0.25	2006-06-05	9	0	1	-0.3387096774193548	0.2883116883116883	0.04316546762589928	0.4567901234567901	0.5365853658536586
05-608	1	2006-10-04	10	2006	MEDIMMUNE, INC. v. GENENTECH, INC., et al.	18.0	0.875	0.25	0.8	-0.29411764705882354	-0.875	2007-01-09	8	1	1	0.5287356321839081	0.10252996005326231	0.41509433962264153	-0.5383104125736738	-0.7710583153347732
05-6551	0	2006-10-11	10	2006	JOHN CUNNINGHAM V.CALIFORNIA	-6.0	-0.5555555555555556	0.0	-1.0	-1.0	1.0	2007-01-22	6	3	1	-0.31716082659478884	-0.6231884057971014	0.2891246684350133	-0.8757763975155279	0.6877192982456141
05-669	0	2006-10-04	10	2006	BP AMERICA PRODUCTION COMPANY, SUCCESSOR IN INTEREST TO AMOCO PRODUCTION COMPANY, et al. v. REJANE BURTON, ACTING ASSISTANT SECRETARY, LAND AND MINERALS MANAGEMENT, DEPARTMENT OF THE INTERIOR, et al.	-7.0	0.0	-0.6666666666666666	0.3333333333333333	0.0	-0.1076923076923077	2006-12-11	7	0	0	0.0	-0.610223642172524	-0.5466666666666666	0.0	0.055843408175014396
05-705	-1	2006-10-10	10	2006	GLOBAL CROSSING TELECOMMUNICATIONS, INC. v. METROPHONES TELECOMMUNICATIONS, INC.	-2.0	0.0	-1.0	0.0	-0.5	0.6363636363636364	2007-04-17	7	2	0	-0.4833948339483395	-0.35172413793103446	-1.0	0.16533333333333333	0.6277777777777778
05-7053	0	2006-04-25	04	2006	KESHIA CHERIE ASHFORD DIXON v. UNITED STATES	7.0	1.0	-0.42857142857142855	0.2	-0.14285714285714285	0.09090909090909091	2006-06-22	7	2	0	1.0	-0.5568181818181818	-0.25	-0.3799621928166352	-0.318739054290718
05-7058	0	2006-10-30	10	2006	LORENZO L. JONES V.BARBARA BOCK, WARDEN, et al.	0.0	-0.5	0.5	-0.5	-0.6	-0.14285714285714285	2007-01-22	9	0	1	-0.3652173913043478	0.6262295081967213	-0.3125	-0.5545243619489559	0.17791411042944785
